cadenaID,clusterID,clusterORDEN,clusterCODIGO,clusterTITULO,clusterURL,clusterCOLORFONDO,clusterCOLORTEXTO,clusterDESCRIPCION,clusterFCHCREADO,clusterUSRCREO,clusterFCHMODIFICADO,clusterUSRMODIFICO,clusterFCHDESACTIVADO,clusterUSRDESACTIVO,clusterFCHBORRADO,clusterUSRBORRO,clusterESTADO,actividadClusterPADREID,actividadClusterID,actividadClusterORDEN,actividadClusterCODIGO,actividadClusterTITULO,actividadClusterDESCRIPCION,actividadClusterENLACE,actividadClusterEMAIL,actividadClusterIMAGEN,actividadClusterPDF,actividadClusterFCHCREADO,actividadClusterUSRCREA,actividadClusterFCHMODIFICADO,actividadClusterUSRMODIFICA,actividadClusterFCHDESACTIVADO,actividadClusterUSRDESACTIVA,actividadClusterFCHBORRADO,actividadClusterUSRBORRA,actividadClusterESTADO,macroSectorCODIGO,macroSectorTITULO,ciiuSeccionCODIGO,ciiuSeccionTITULO,ciiuActividadID,ciiuVIGENCIA,ciiuActividadPADRE,ciiuActividadCODIGO,ciiuActividadTITULO,ciiuActividadDESCRIPCION,ciiuSeccionID,macroSectorID
3,7,99,LOGISTICA,Logistica,,,,,2024-12-02 15:37:56 UTC,,2024-12-02 15:38:08 UTC,,,,,,ACTIVO,0,36,99,674dd8f861f1d,,,,,,,2024-12-02 15:58:27 UTC,,2024-12-02 15:58:27 UTC,,,,,,ACTIVO,RSS,Servicios,H,TRANSPORTE Y ALMACENAMIENTO,483,ACTIVA,481,5022,Transporte fluvial de carga,,8,2
3,7,99,LOGISTICA,Logistica,,,,,2024-12-02 15:37:56 UTC,,2024-12-02 15:38:08 UTC,,,,,,ACTIVO,0,34,99,674dd8f861dab,,,,,,,2024-12-02 15:58:27 UTC,,2024-12-02 15:58:27 UTC,,,,,,ACTIVO,RSS,Servicios,H,TRANSPORTE Y ALMACENAMIENTO,476,ACTIVA,475,4930,Transporte por tuberías,,8,2
3,7,99,LOGISTICA,Logistica,,,,,2024-12-02 15:37:56 UTC,,2024-12-02 15:38:08 UTC,,,,,,ACTIVO,0,32,99,674dd8f861c3a,,,,,,,2024-12-02 15:58:27 UTC,,2024-12-02 15:58:27 UTC,,,,,,ACTIVO,RSS,Servicios,H,TRANSPORTE Y ALMACENAMIENTO,472,ACTIVA,471,4921,Transporte de pasajeros,,8,2
3,7,99,LOGISTICA,Logistica,,,,,2024-12-02 15:37:56 UTC,,2024-12-02 15:38:08 UTC,,,,,,ACTIVO,0,31,99,674dd8f861b81,,,,,,,2024-12-02 15:58:27 UTC,,2024-12-02 15:58:27 UTC,,,,,,ACTIVO,RSS,Servicios,H,TRANSPORTE Y ALMACENAMIENTO,474,ACTIVA,471,4923,Transporte de carga por carretera,,8,2
3,7,99,LOGISTICA,Logistica,,,,,2024-12-02 15:37:56 UTC,,2024-12-02 15:38:08 UTC,,,,,,ACTIVO,0,40,99,674dd8f862272,,,,,,,2024-12-02 15:58:27 UTC,,2024-12-02 15:58:27 UTC,,,,,,ACTIVO,RSS,Servicios,H,TRANSPORTE Y ALMACENAMIENTO,498,ACTIVA,494,5224,Manipulación de carga,,8,2
3,7,99,LOGISTICA,Logistica,,,,,2024-12-02 15:37:56 UTC,,2024-12-02 15:38:08 UTC,,,,,,ACTIVO,0,30,99,674dd8f861ac8,,,,,,,2024-12-02 15:58:27 UTC,,2024-12-02 15:58:27 UTC,,,,,,ACTIVO,RSS,Servicios,H,TRANSPORTE Y ALMACENAMIENTO,470,ACTIVA,468,4912,Transporte férreo de carga ,,8,2
3,7,99,LOGISTICA,Logistica,,,,,2024-12-02 15:37:56 UTC,,2024-12-02 15:38:08 UTC,,,,,,ACTIVO,0,33,99,674dd8f861cf3,,,,,,,2024-12-02 15:58:27 UTC,,2024-12-02 15:58:27 UTC,,,,,,ACTIVO,RSS,Servicios,H,TRANSPORTE Y ALMACENAMIENTO,473,ACTIVA,471,4922,Transporte mixto,,8,2
3,7,99,LOGISTICA,Logistica,,,,,2024-12-02 15:37:56 UTC,,2024-12-02 15:38:08 UTC,,,,,,ACTIVO,0,37,99,674dd8f86202f,,,,,,,2024-12-02 15:58:27 UTC,,2024-12-02 15:58:27 UTC,,,,,,ACTIVO,RSS,Servicios,H,TRANSPORTE Y ALMACENAMIENTO,495,ACTIVA,494,5221,"Actividades de estaciones, vías y servicios complementarios para el transporte terrestre",,8,2
3,7,99,LOGISTICA,Logistica,,,,,2024-12-02 15:37:56 UTC,,2024-12-02 15:38:08 UTC,,,,,,ACTIVO,0,35,99,674dd8f861e64,,,,,,,2024-12-02 15:58:27 UTC,,2024-12-02 15:58:27 UTC,,,,,,ACTIVO,RSS,Servicios,H,TRANSPORTE Y ALMACENAMIENTO,482,ACTIVA,481,5021,Transporte fluvial de pasajeros,,8,2
3,7,99,LOGISTICA,Logistica,,,,,2024-12-02 15:37:56 UTC,,2024-12-02 15:38:08 UTC,,,,,,ACTIVO,0,39,99,674dd8f8621b8,,,,,,,2024-12-02 15:58:27 UTC,,2024-12-02 15:58:27 UTC,,,,,,ACTIVO,RSS,Servicios,H,TRANSPORTE Y ALMACENAMIENTO,480,ACTIVA,478,5012,Transporte de carga marítimo y de cabotaje ,,8,2
3,7,99,LOGISTICA,Logistica,,,,,2024-12-02 15:37:56 UTC,,2024-12-02 15:38:08 UTC,,,,,,ACTIVO,0,29,99,674dd8f861a0f,,,,,,,2024-12-02 15:58:27 UTC,,2024-12-02 15:58:27 UTC,,,,,,ACTIVO,RSS,Servicios,H,TRANSPORTE Y ALMACENAMIENTO,479,ACTIVA,478,5011,Transporte de pasajeros marítimo y de cabotaje ,,8,2
3,7,99,LOGISTICA,Logistica,,,,,2024-12-02 15:37:56 UTC,,2024-12-02 15:38:08 UTC,,,,,,ACTIVO,0,28,99,674dd8f86193c,,,,,,,2024-12-02 15:58:27 UTC,,2024-12-02 15:58:27 UTC,,,,,,ACTIVO,RSS,Servicios,H,TRANSPORTE Y ALMACENAMIENTO,499,ACTIVA,494,5229,Otras actividades complementarias al transporte,,8,2
3,7,99,LOGISTICA,Logistica,,,,,2024-12-02 15:37:56 UTC,,2024-12-02 15:38:08 UTC,,,,,,ACTIVO,0,38,99,674dd8f8620fb,,,,,,,2024-12-02 15:58:27 UTC,,2024-12-02 15:58:27 UTC,,,,,,ACTIVO,RSS,Servicios,N,ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO,657,ACTIVA,656,7710,Alquiler y arrendamiento de vehículos automotores,,14,2
2,8,99,TURISMO,Turismo,,,,,2024-12-02 15:37:56 UTC,,2024-12-02 15:37:56 UTC,,,,,,ACTIVO,0,27,99,674dd8f861882,,,,,,,2024-12-02 15:58:27 UTC,,2024-12-02 15:58:27 UTC,,,,,,ACTIVO,RSS,Servicios,R,"ACTIVIDADES ARTÍSTICAS, DE ENTRETENIMIENTO Y RECREACIÓN",784,ACTIVA,783,9200,Actividades de juegos de azar y apuestas,,18,2
2,8,99,TURISMO,Turismo,,,,,2024-12-02 15:37:56 UTC,,2024-12-02 15:37:56 UTC,,,,,,ACTIVO,0,16,99,674dd8f861094,,,,,,,2024-12-02 15:58:27 UTC,,2024-12-02 15:58:27 UTC,,,,,,ACTIVO,RSS,Servicios,I,ALOJAMIENTO Y SERVICIOS DE COMIDA,511,ACTIVA,506,5519,Otros tipos de alojamiento para visitantes,,9,2
2,8,99,TURISMO,Turismo,,,,,2024-12-02 15:37:56 UTC,,2024-12-02 15:37:56 UTC,,,,,,ACTIVO,0,7,99,674dd8f8609e3,,,,,,,2024-12-02 15:58:27 UTC,,2024-12-02 15:58:27 UTC,,,,,,ACTIVO,RSS,Servicios,R,"ACTIVIDADES ARTÍSTICAS, DE ENTRETENIMIENTO Y RECREACIÓN",780,ACTIVA,778,9102,"Actividades y funcionamiento de museos, conservación de edificios y sitios históricos",,18,2
2,8,99,TURISMO,Turismo,,,,,2024-12-02 15:37:56 UTC,,2024-12-02 15:37:56 UTC,,,,,,ACTIVO,0,26,99,674dd8f8617c6,,,,,,,2024-12-02 15:58:27 UTC,,2024-12-02 15:58:27 UTC,,,,,,ACTIVO,RSS,Servicios,I,ALOJAMIENTO Y SERVICIOS DE COMIDA,528,ACTIVA,527,5630,Expendio de bebidas alcohólicas para el consumo dentro del establecimiento,,9,2
2,8,99,TURISMO,Turismo,,,,,2024-12-02 15:37:56 UTC,,2024-12-02 15:37:56 UTC,,,,,,ACTIVO,0,11,99,674dd8f860ccf,,,,,,,2024-12-02 15:58:27 UTC,,2024-12-02 15:58:27 UTC,,,,,,ACTIVO,RSS,Servicios,R,"ACTIVIDADES ARTÍSTICAS, DE ENTRETENIMIENTO Y RECREACIÓN",792,ACTIVA,790,9329,Otras actividades recreativas y de esparcimiento n.c.p.,,18,2
2,8,99,TURISMO,Turismo,,,,,2024-12-02 15:37:56 UTC,,2024-12-02 15:37:56 UTC,,,,,,ACTIVO,0,24,99,674dd8f861652,,,,,,,2024-12-02 15:58:27 UTC,,2024-12-02 15:58:27 UTC,,,,,,ACTIVO,RSS,Servicios,I,ALOJAMIENTO Y SERVICIOS DE COMIDA,525,ACTIVA,524,5621,Catering para eventos,,9,2
2,8,99,TURISMO,Turismo,,,,,2024-12-02 15:37:56 UTC,,2024-12-02 15:37:56 UTC,,,,,,ACTIVO,0,15,99,674dd8f860fba,,,,,,,2024-12-02 15:58:27 UTC,,2024-12-02 15:58:27 UTC,,,,,,ACTIVO,RSS,Servicios,I,ALOJAMIENTO Y SERVICIOS DE COMIDA,510,ACTIVA,506,5514,Alojamiento rural,,9,2
2,8,99,TURISMO,Turismo,,,,,2024-12-02 15:37:56 UTC,,2024-12-02 15:37:56 UTC,,,,,,ACTIVO,0,9,99,674dd8f860b59,,,,,,,2024-12-02 15:58:27 UTC,,2024-12-02 15:58:27 UTC,,,,,,ACTIVO,RSS,Servicios,R,"ACTIVIDADES ARTÍSTICAS, DE ENTRETENIMIENTO Y RECREACIÓN",788,ACTIVA,786,9312,Actividades de clubes deportivos,,18,2
2,8,99,TURISMO,Turismo,,,,,2024-12-02 15:37:56 UTC,,2024-12-02 15:37:56 UTC,,,,,,ACTIVO,0,19,99,674dd8f8612d7,,,,,,,2024-12-02 15:58:27 UTC,,2024-12-02 15:58:27 UTC,,,,,,ACTIVO,RSS,Servicios,I,ALOJAMIENTO Y SERVICIOS DE COMIDA,517,ACTIVA,516,5590,Otros tipos de alojamiento n.c.p.,,9,2
2,8,99,TURISMO,Turismo,,,,,2024-12-02 15:37:56 UTC,,2024-12-02 15:37:56 UTC,,,,,,ACTIVO,0,12,99,674dd8f860d89,,,,,,,2024-12-02 15:58:27 UTC,,2024-12-02 15:58:27 UTC,,,,,,ACTIVO,RSS,Servicios,I,ALOJAMIENTO Y SERVICIOS DE COMIDA,507,ACTIVA,506,5511,Alojamiento en hoteles ,,9,2
2,8,99,TURISMO,Turismo,,,,,2024-12-02 15:37:56 UTC,,2024-12-02 15:37:56 UTC,,,,,,ACTIVO,0,23,99,674dd8f8615c0,,,,,,,2024-12-02 15:58:27 UTC,,2024-12-02 15:58:27 UTC,,,,,,ACTIVO,RSS,Servicios,I,ALOJAMIENTO Y SERVICIOS DE COMIDA,523,ACTIVA,519,5619,Otros tipos de expendio de comidas preparadas n.c.p.,,9,2
2,8,99,TURISMO,Turismo,,,,,2024-12-02 15:37:56 UTC,,2024-12-02 15:37:56 UTC,,,,,,ACTIVO,0,14,99,674dd8f860f00,,,,,,,2024-12-02 15:58:27 UTC,,2024-12-02 15:58:27 UTC,,,,,,ACTIVO,RSS,Servicios,I,ALOJAMIENTO Y SERVICIOS DE COMIDA,509,ACTIVA,506,5513,Alojamiento en centros vacacionales ,,9,2
2,8,99,TURISMO,Turismo,,,,,2024-12-02 15:37:56 UTC,,2024-12-02 15:37:56 UTC,,,,,,ACTIVO,0,17,99,674dd8f86115f,,,,,,,2024-12-02 15:58:27 UTC,,2024-12-02 15:58:27 UTC,,,,,,ACTIVO,RSS,Servicios,I,ALOJAMIENTO Y SERVICIOS DE COMIDA,513,ACTIVA,512,5520,Actividades de zonas de camping y parques para vehículos recreacionales,,9,2
2,8,99,TURISMO,Turismo,,,,,2024-12-02 15:37:56 UTC,,2024-12-02 15:37:56 UTC,,,,,,ACTIVO,0,21,99,674dd8f86144c,,,,,,,2024-12-02 15:58:27 UTC,,2024-12-02 15:58:27 UTC,,,,,,ACTIVO,RSS,Servicios,I,ALOJAMIENTO Y SERVICIOS DE COMIDA,508,ACTIVA,506,5512,Alojamiento en apartahoteles,,9,2
2,8,99,TURISMO,Turismo,,,,,2024-12-02 15:37:56 UTC,,2024-12-02 15:37:56 UTC,,,,,,ACTIVO,0,8,99,674dd8f860a9f,,,,,,,2024-12-02 15:58:27 UTC,,2024-12-02 15:58:27 UTC,,,,,,ACTIVO,RSS,Servicios,R,"ACTIVIDADES ARTÍSTICAS, DE ENTRETENIMIENTO Y RECREACIÓN",781,ACTIVA,778,9103,"Actividades de jardines botánicos, zoológicos y reservas naturales",,18,2
2,8,99,TURISMO,Turismo,,,,,2024-12-02 15:37:56 UTC,,2024-12-02 15:37:56 UTC,,,,,,ACTIVO,0,13,99,674dd8f860e45,,,,,,,2024-12-02 15:58:27 UTC,,2024-12-02 15:58:27 UTC,,,,,,ACTIVO,RSS,Servicios,I,ALOJAMIENTO Y SERVICIOS DE COMIDA,508,ACTIVA,506,5512,Alojamiento en apartahoteles,,9,2
2,8,99,TURISMO,Turismo,,,,,2024-12-02 15:37:56 UTC,,2024-12-02 15:37:56 UTC,,,,,,ACTIVO,0,25,99,674dd8f86170d,,,,,,,2024-12-02 15:58:27 UTC,,2024-12-02 15:58:27 UTC,,,,,,ACTIVO,RSS,Servicios,I,ALOJAMIENTO Y SERVICIOS DE COMIDA,526,ACTIVA,524,5629,Actividades de otros servicios de comidas,,9,2
2,8,99,TURISMO,Turismo,,,,,2024-12-02 15:37:56 UTC,,2024-12-02 15:37:56 UTC,,,,,,ACTIVO,0,22,99,674dd8f861505,,,,,,,2024-12-02 15:58:27 UTC,,2024-12-02 15:58:27 UTC,,,,,,ACTIVO,RSS,Servicios,I,ALOJAMIENTO Y SERVICIOS DE COMIDA,522,ACTIVA,519,5613,Expendio de comidas preparadas en cafeterías,,9,2
2,8,99,TURISMO,Turismo,,,,,2024-12-02 15:37:56 UTC,,2024-12-02 15:37:56 UTC,,,,,,ACTIVO,0,18,99,674dd8f86121b,,,,,,,2024-12-02 15:58:27 UTC,,2024-12-02 15:58:27 UTC,,,,,,ACTIVO,RSS,Servicios,I,ALOJAMIENTO Y SERVICIOS DE COMIDA,515,ACTIVA,514,5530,Servicio de estancia por horas ,,9,2
2,8,99,TURISMO,Turismo,,,,,2024-12-02 15:37:56 UTC,,2024-12-02 15:37:56 UTC,,,,,,ACTIVO,0,10,99,674dd8f860c15,,,,,,,2024-12-02 15:58:27 UTC,,2024-12-02 15:58:27 UTC,,,,,,ACTIVO,RSS,Servicios,R,"ACTIVIDADES ARTÍSTICAS, DE ENTRETENIMIENTO Y RECREACIÓN",791,ACTIVA,790,9321,Actividades de parques de atracciones y parques temáticos,,18,2
2,8,99,TURISMO,Turismo,,,,,2024-12-02 15:37:56 UTC,,2024-12-02 15:37:56 UTC,,,,,,ACTIVO,0,20,99,674dd8f861391,,,,,,,2024-12-02 15:58:27 UTC,,2024-12-02 15:58:27 UTC,,,,,,ACTIVO,RSS,Servicios,I,ALOJAMIENTO Y SERVICIOS DE COMIDA,520,ACTIVA,519,5611,Expendio a la mesa de comidas preparadas,,9,2
1,3,99,YUCA,Yuca,,,,"""Cultivo de hortalizas",2024-12-02 15:37:56 UTC,,2024-12-02 15:37:56 UTC,,,,,,ACTIVO,0,3,99,674dd8f8606ed,,,,,,,2024-12-02 15:58:27 UTC,,2024-12-02 15:58:27 UTC,,,,,,ACTIVO,RSM,Manufacturas,A,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA",5,ACTIVA,2,0113,"Cultivo de hortalizas, raíces y tubérculos ",,1,1
1,6,99,CAFE,Café,,,,Cultivo de café,2024-12-02 15:37:56 UTC,,2024-12-02 15:37:56 UTC,,,,,,ACTIVO,0,6,99,674dd8f860925,,,,,,,2024-12-02 15:58:27 UTC,,2024-12-02 15:58:27 UTC,,,,,,ACTIVO,RSM,Manufacturas,A,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA",12,ACTIVA,9,0123,Cultivo de café,,1,1
1,2,99,MANGO,Mango,,,,Cultivo de frutas tropicales y subtropicales,2024-12-02 15:37:56 UTC,,2024-12-02 15:37:56 UTC,,,,,,ACTIVO,0,2,99,674dd8f8604f9,,,,,,,2024-12-02 15:58:27 UTC,,2024-12-02 15:58:27 UTC,,,,,,ACTIVO,RSM,Manufacturas,A,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA",10,ACTIVA,9,0121,Cultivo de frutas tropicales y subtropicales,,1,1
1,5,99,PALMADEACEITE,Palma,,,,Cultivo de palma para aceite (palma africana) y otros frutos oleaginosos,2024-12-02 15:37:56 UTC,,2024-12-02 15:37:56 UTC,,,,,,ACTIVO,0,5,99,674dd8f860869,,,,,,,2024-12-02 15:58:27 UTC,,2024-12-02 15:58:27 UTC,,,,,,ACTIVO,RSM,Manufacturas,A,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA",15,ACTIVA,9,0126,Cultivo de palma para aceite (palma africana) y otros frutos oleaginosos,,1,1
1,4,99,CACAO,Cacao,,,,Cultivo de plantas con las que se preparan bebidas,2024-12-02 15:37:56 UTC,,2024-12-02 15:37:56 UTC,,,,,,ACTIVO,0,4,99,674dd8f8607a9,,,,,,,2024-12-02 15:58:27 UTC,,2024-12-02 15:58:27 UTC,,,,,,ACTIVO,RSM,Manufacturas,A,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA",16,ACTIVA,9,0127,Cultivo de plantas con las que se preparan bebidas,,1,1
1,1,99,BANANO,Banano,,,,Cultivo de plátano y banano,2024-12-02 15:37:56 UTC,,2024-12-02 15:37:56 UTC,,,,,,ACTIVO,0,1,99,674dd8f860406,,,,,,,2024-12-02 15:58:27 UTC,,2024-12-02 15:58:27 UTC,,,,,,ACTIVO,RSM,Manufacturas,A,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA",11,ACTIVA,9,0122,Cultivo de plátano y banano,,1,1
